"Longitude" "Latitude" "Longneg" "Depth" "substrate" "substrate_code"
275.35 27.75 -84.65 175.604166666667 300 6
275.35 27.85 -84.65 158.180555555556 30 4
275.35 27.95 -84.65 125.069444444444 30 4
275.35 28.05 -84.65 92.0625 30 4
275.35 28.15 -84.65 75.0069444444444 30 4
275.35 28.25 -84.65 69.3125 30 4
275.35 28.35 -84.65 65.4791666666667 30 4
275.35 28.45 -84.65 60.8194444444444 30 4
275.35 28.55 -84.65 54.7777777777778 300 6
275.35 28.65 -84.65 50.1805555555556 30 4
275.35 28.75 -84.65 45.6458333333333 30 4
275.35 28.85 -84.65 41.7222222222222 30 4
275.35 28.95 -84.65 38.1944444444444 300 6
275.35 29.05 -84.65 35.3402777777778 300 6
275.35 29.15 -84.65 33.2569444444444 300 6
275.35 29.25 -84.65 32.3402777777778 200 5
275.35 29.35 -84.65 29.9791666666667 20 3
275.35 29.45 -84.65 24.6736111111111 20 3
275.35 29.55 -84.65 18.9791666666667 300 6
275.35 29.65 -84.65 14.0347222222222 300 6
275.45 25.65 -84.55 447.791666666667 30 4
275.45 25.75 -84.55 351.222222222222 30 4
275.45 25.85 -84.55 289.236111111111 20 3
275.45 25.95 -84.55 251.958333333333 20 3
275.45 26.05 -84.55 234.951388888889 20 3
275.45 26.15 -84.55 222.145833333333 3000 8
275.45 26.25 -84.55 219.298611111111 3000 8
275.45 26.35 -84.55 215.465277777778 3000 8
275.45 26.45 -84.55 208.784722222222 30 4
275.45 26.55 -84.55 204.569444444444 200 5
275.45 26.65 -84.55 198.791666666667 20 3
275.45 26.75 -84.55 193.659722222222 3000 8
275.45 26.85 -84.55 191.034722222222 20 3
275.45 26.95 -84.55 187.5625 20 3
275.45 27.05 -84.55 179.5625 200 5
275.45 27.15 -84.55 174.736111111111 200 5
275.45 27.25 -84.55 165.0625 200 5
275.45 27.35 -84.55 155.5 20 3
275.45 27.45 -84.55 146.534722222222 300 6
275.45 27.55 -84.55 143.395833333333 20 3
275.45 27.65 -84.55 139.090277777778 200 5
275.45 27.75 -84.55 133.784722222222 300 6
275.45 27.85 -84.55 115.861111111111 30 4
275.45 27.95 -84.55 93.4513888888889 20 3
275.45 28.05 -84.55 76.5902777777778 30 4
275.45 28.15 -84.55 70.6458333333333 20 3
275.45 28.25 -84.55 65.9791666666667 200 5
275.45 28.35 -84.55 61.5972222222222 20 3
275.45 28.45 -84.55 57.2083333333333 200 5
275.45 28.55 -84.55 51.3611111111111 30 4
275.45 28.65 -84.55 46.0486111111111 30 4
275.45 28.75 -84.55 42.125 20 3
275.45 28.85 -84.55 38.7083333333333 20 3
275.45 28.95 -84.55 36.0972222222222 200 5
275.45 29.05 -84.55 33.2222222222222 200 5
275.45 29.15 -84.55 30.8819444444444 300 6
275.45 29.25 -84.55 30.0902777777778 200 5
275.45 29.35 -84.55 29.2777777777778 200 5
275.45 29.45 -84.55 25.1944444444444 20 3
275.45 29.55 -84.55 20.1944444444444 200 5
275.45 29.65 -84.55 15.7638888888889 300 6
275.55 25.35 -84.45 457.020833333333 30 4
275.55 25.45 -84.45 350.854166666667 30 4
275.55 25.55 -84.45 295.076388888889 30 4
275.55 25.65 -84.45 245.034722222222 30 4
